"Geographic area","Time period","Sex","Adjusted net attendance rate, one year before the official primary entry age","Adjusted net attendance rate for children of primary school age","Adjusted net attendance rate for adolescents of lower secondary school age","Adjusted net attendance rate for youth of upper secondary school age","Completion rate for children of primary school age","Completion rate for adolescents of lower secondary school age","Completion rate for youth of upper secondary education school age","Out-of-school rate for children of primary school age","Out-of-school rate for adolescents of lower secondary school age","Out-of-school rate for youth of upper secondary school age","Out-of-school rate for youth of upper secondary school age (administrative data)","Youth literacy rate for 15-24 years","Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics","Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics","Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in reading","Out-of-school rate for children one year younger than official entry age (administrative data)","Out-of-school rate for children of primary school age (administrative data)","Out-of-school rate for adolescents of lower secondary school age (administrative data)","Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in mathematics","Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading","Proportion of students at the end of primary achieving at least a minimum proficiency level in reading"
"Afghanistan","2018","Female","-","-","-","-","-","-","-","-","-","-","68.68825","-","-","-","-","-","-","-","-","-","-"
"Afghanistan","2018","Male","-","-","-","-","-","-","-","-","-","-","43.78052","-","-","-","-","-","-","-","-","-","-"
"Afghanistan","2018","Total","-","-","-","-","-","-","-","-","-","-","55.89854","-","-","-","-","-","-","-","-","-","-"
"Afghanistan","2015","Female","29.306061","53.200001","27.9","18.9","40.200001","25.63134","14.36536","47.099998","56.114071","72.725258","-","-","-","-","-","-","-","-","-","-","-"
"Afghanistan","2015","Male","38.497471","73.099998","47.799999","37.099998","67.199997","49.296501","32.315559","27.799999","25.355261","42.885769","-","-","-","-","-","-","-","-","-","-","-"
"Afghanistan","2015","Total","34.136059","63.700001","38.299999","28","53.900002","37.217079","22.89534","37","39.961262","57.790981","-","-","-","-","-","-","-","-","-","-","-"
"Albania","2020","Female","-","-","-","-","-","-","-","-","-","-","15.10066","-","-","-","-","-","1.93244","1.30401","-","-","-"
"Albania","2020","Male","-","-","-","-","-","-","-","-","-","-","21.92466","-","-","-","-","-","5.54032","5.47868","-","-","-"
"Albania","2020","Total","-","-","-","-","-","-","-","-","-","-","18.74204","-","-","-","-","-","3.84193","3.54768","-","-","-"
"Albania","2019","Total","-","-","-","-","-","-","-","-","-","-","-","-","62","-","-","-","-","-","-","-","-"
"Albania","2018","Female","-","91.39299","95.305901","79.726959","95.698372","97.412567","79.857063","2.0999999","2.0999999","12","-","99.63","-","59.42498","58.04195","1.84519","-","-","-","-","-"
"Albania","2018","Male","-","88.879219","94.957283","75.529243","94.15596","97.929047","76.226807","2.5999999","2.2","12.4","-","99.05","-","55.90192","37.90172","3.89694","-","-","-","-","-"
"Albania","2018","Total","-","90.119217","95.1241","77.643913","94.92128","97.671013","77.94796","2.4000001","2.0999999","12.2","-","99.33","-","57.62715","47.76432","2.9268","-","-","-","-","-"
"Algeria","2020","Female","79.780457","96.958458","88.482033","61.73978","96.471619","78.171562","59.164452","1.75218","4.2468548","17.50255","-","-","-","-","-","-","-","-","-","-","-"
"Algeria","2020","Male","76.693977","97.2043","82.081398","40.360901","93.074371","60.489948","34.630589","1.866154","4.0125489","27.437799","-","-","-","-","-","-","-","-","-","-","-"
"Algeria","2020","Total","78.145416","97.08477","85.201317","50.61705","94.708633","68.905968","46.431679","1.810739","4.1267591","22.671539","-","-","-","-","-","-","0.177","-","-","-","-"
"Algeria","2018","Female","-","-","-","-","-","-","-","-","-","-","-","97.25216","-","-","-","-","-","-","-","-","-"
"Algeria","2018","Male","-","-","-","-","-","-","-","-","-","-","-","97.59406","-","-","-","-","-","-","-","-","-"
"Algeria","2018","Total","-","-","-","-","-","-","-","-","-","-","-","97.42652","-","-","-","-","-","-","-","-","-"
"Algeria","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","20.7498","27.67634","-","-","-","-","-","-"
"Algeria","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","17.51152","15.06583","-","-","-","-","-","-"
"Algeria","2015","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","19.04324","21.03063","-","-","-","-","-","-"
"Angola","2016","Female","50.53513","75.599998","30.799999","28.1","56.63134","31.708269","15.21019","22.132311","16.864519","35.406719","-","-","-","-","-","38.51503","-","-","-","-","-"
"Angola","2016","Male","55.051651","76.099998","32.200001","32.099998","63.2789","42.056301","23.698139","21.26763","13.52667","21.0751","-","-","-","-","-","31.18104","-","-","-","-","-"
"Angola","2016","Total","52.865299","75.800003","31.4","30","59.849659","36.50642","18.7439","21.69482","15.28392","28.510441","-","-","-","-","-","34.84101","-","-","-","-","-"
"Anguilla","2019","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-"
"Anguilla","2019","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.23267","-","-","-","-","-"
"Anguilla","2019","Total","-","-","-","-","-","-","-","-","-","-","4.33056","-","-","-","-","7.1875","0.77967","-","-","-","-"
"Antigua and Barbuda","2019","Female","-","-","-","-","-","-","-","-","-","-","13.39031","-","-","-","-","-","1.87461","3.27628","-","-","-"
"Antigua and Barbuda","2019","Male","-","-","-","-","-","-","-","-","-","-","12.00279","-","-","-","-","-","1.58343","1.77203","-","-","-"
"Antigua and Barbuda","2019","Total","-","-","-","-","-","-","-","-","-","-","12.68946","-","-","-","-","-","1.72715","2.51633","-","-","-"
"Antigua and Barbuda","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.21941","-","-","-","-","-"
"Antigua and Barbuda","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13.50614","-","-","-","-","-"
"Antigua and Barbuda","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8.93352","-","-","-","-","-"
"Argentina","2020","Female","80.490463","97.892517","92.289497","70.54908","98.040077","84.934196","65.963852","0.2271357","1.06985","5.89115","-","-","-","-","-","-","-","-","-","-","-"
"Argentina","2020","Male","87.571136","98.4533","86.628639","62.77586","95.666924","74.320808","54.310711","0.30022931","1.205076","7.7867188","-","-","-","-","-","-","-","-","-","-","-"
"Argentina","2020","Total","84.045921","98.181023","89.400009","66.585091","96.839119","79.316093","60.195518","0.2647399","1.1388741","6.8578038","-","-","-","-","-","-","-","-","-","-","-"
"Argentina","2019","Female","-","-","-","-","-","-","-","-","-","-","6.61321","-","-","-","-","0.2938","-","1.2537","-","-","-"
"Argentina","2019","Male","-","-","-","-","-","-","-","-","-","-","14.56729","-","-","-","-","1.14155","-","0.63537","-","-","-"
"Argentina","2019","Total","-","-","-","-","-","-","-","-","-","-","10.65845","-","-","-","-","0.72551","0.42247","0.93901","-","-","-"
"Argentina","2018","Female","-","-","-","-","-","-","-","-","-","-","-","99.75765","-","27.21367","50.57304","-","-","-","-","-","-"
"Argentina","2018","Male","-","-","-","-","-","-","-","-","-","-","-","99.24183","-","34.96262","45.11642","-","-","-","-","-","-"
"Argentina","2018","Total","-","-","-","-","-","-","-","-","-","-","-","99.50552","-","31.03288","47.88365","-","-","-","-","-","-"
"Armenia","2020","Female","-","-","-","-","-","-","-","-","-","-","1.435","99.89736","-","-","-","37.94826","10.40104","8.62643","-","-","-"
"Armenia","2020","Male","-","-","-","-","-","-","-","-","-","-","13.18625","99.85206","-","-","-","36.26114","10.54438","10.78141","-","-","-"
"Armenia","2020","Total","-","-","-","-","-","-","-","-","-","-","7.72412","99.87382","-","-","-","37.0525","10.47731","9.77754","-","-","-"
"Armenia","2019","Total","-","-","-","-","-","-","-","-","-","-","-","-","64","-","-","-","-","-","-","-","-"
"Armenia","2016","Female","64.800003","95.358589","93.209381","89.055801","99.11264","99.152008","79.394547","4.3000002","0.89999998","4.4000001","-","-","-","-","-","-","-","-","-","-","-"
"Armenia","2016","Male","58.900002","95.491661","94.994583","81.369759","99.389252","94.619598","68.794182","4.5999999","0.69999999","8.6999998","-","-","-","-","-","-","-","-","-","-","-"
"Armenia","2016","Total","61.5","95.427887","94.179199","85.180359","99.266441","97.058952","74.582832","4.5","0.80000001","6.5999999","-","-","-","-","-","-","-","-","-","-","-"
"Armenia","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","55.83526","51.80103","-","-","-","-","-","-","-"
"Armenia","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","53.35225","48.27394","-","-","-","-","-","-","-"
"Armenia","2015","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","50.40721","-","-","-","-","-","-","-"
"Australia","2020","Female","-","-","-","-","-","-","-","-","-","-","5.5268","-","-","-","-","18.16288","1.51921","2.15327","-","-","-"
"Australia","2020","Male","-","-","-","-","-","-","-","-","-","-","8.854","-","-","-","-","17.75643","1.39621","1.8969","-","-","-"
"Australia","2020","Total","-","-","-","-","-","-","-","-","-","-","7.23036","-","-","-","-","17.95428","1.45611","2.02186","-","-","-"
"Australia","2019","Total","-","-","-","-","-","-","-","-","-","-","-","-","68","-","-","-","-","-","70","-","-"
"Australia","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","77.34229","85.25881","-","-","-","-","-","-"
"Australia","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","77.78416","75.64528","-","-","-","-","-","-"
"Australia","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","77.56688","80.37261","-","-","-","-","-","-"
"Australia","2016","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","96.23329","-"
"Australia","2016","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","92.93519","-"
"Australia","2016","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","94.48621","-"
"Australia","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","63.93016","-","-","-","-","-","69.29406","-","-"
"Australia","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","65.67903","-","-","-","-","-","71.12087","-","-"
"Austria","2019","Female","-","-","-","-","-","-","-","-","-","-","8.99559","-","-","-","-","0.78944","-","0.45182","-","-","-"
"Austria","2019","Male","-","-","-","-","-","-","-","-","-","-","10.51243","-","-","-","-","2.13312","-","1.12154","-","-","-"
"Austria","2019","Total","-","-","-","-","-","-","-","-","-","-","9.77608","-","84","-","-","1.48284","0.05623","0.79665","-","-","-"
"Austria","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","78.33651","81.69047","-","-","-","-","-","-"
"Austria","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","79.48838","71.22077","-","-","-","-","-","-"
"Austria","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","78.92112","76.37674","-","-","-","-","-","-"
"Austria","2016","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.11877","-","-","-","98.08942"
"Austria","2016","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.28884","-","-","-","97.10886"
"Austria","2016","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","97.58574"
"Azerbaijan","2020","Female","-","-","-","-","-","-","-","-","-","-","0.1708","-","-","-","-","17.3183","8.60678","0.46449","-","-","-"
"Azerbaijan","2020","Male","-","-","-","-","-","-","-","-","-","-","0.12584","-","-","-","-","16.28059","12.06504","0.76283","-","-","-"
"Azerbaijan","2020","Total","-","-","-","-","-","-","-","-","-","-","0.14683","-","-","-","-","16.76294","10.46286","0.62423","-","-","-"
"Azerbaijan","2019","Female","-","-","-","-","-","-","-","-","-","-","-","99.90619","-","-","-","-","-","-","-","-","-"
"Azerbaijan","2019","Male","-","-","-","-","-","-","-","-","-","-","-","99.95867","-","-","-","-","-","-","-","-","-"
"Azerbaijan","2019","Total","-","-","-","-","-","-","-","-","-","-","-","99.93393","72","-","-","-","-","-","-","-","-"
"Azerbaijan","2016","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","83.53725"
"Azerbaijan","2016","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","78.49785"
"Azerbaijan","2016","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","80.78633"
"Azerbaijan","2011","Female","66.699997","66.699997","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Azerbaijan","2011","Male","68.599998","68.599998","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Azerbaijan","2011","Total","67.699997","67.699997","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bahamas","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","60.39261","-","-","-","-","-"
"Bahamas","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","64.39007","-","-","-","-","-"
"Bahamas","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","62.44378","-","-","-","-","-"
"Bahrain","2019","Female","-","-","-","-","-","-","-","-","-","-","6.34636","-","-","-","-","28.21404","2.83481","0.12792","-","-","-"
"Bahrain","2019","Male","-","-","-","-","-","-","-","-","-","-","18.12214","-","-","-","-","31.47809","1.86613","7.03717","-","-","-"
"Bahrain","2019","Total","-","-","-","-","-","-","-","-","-","-","12.71451","-","54","55","-","29.93038","2.3445","3.73934","-","-","-"
"Bahrain","2016","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","78.98646"
"Bahrain","2016","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","59.82738"
"Bahrain","2016","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","69.36834"
"Bahrain","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","42.61992","43.18407","-","-","-","-","-","-","-"
"Bahrain","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","37.27004","36.05217","-","-","-","-","-","-","-"
"Bangladesh","2020","Female","-","-","-","-","-","-","-","-","-","-","33.4591","95.85875","-","-","-","-","-","-","-","-","-"
"Bangladesh","2020","Male","-","-","-","-","-","-","-","-","-","-","40.16995","93.16417","-","-","-","-","-","-","-","-","-"
"Bangladesh","2020","Total","-","-","-","-","-","-","-","-","-","-","36.89385","94.46178","-","-","-","-","-","-","-","-","-"
"Bangladesh","2019","Female","78.800003","88.5","64.599998","53.400002","89.099998","70.5","27.299999","4.5","8","26.1","-","-","-","-","-","-","-","-","-","-","-"
"Bangladesh","2019","Male","76.099998","83.300003","51.200001","43.099998","76.300003","59.200001","31.5","8.1000004","17.9","36.5","-","-","-","-","-","-","-","-","-","-","-"
"Bangladesh","2019","Total","77.400002","85.900002","57.799999","48.099998","82.599998","64.699997","29.4","6.4000001","13","31.4","-","-","-","-","-","-","-","-","-","-","-"
"Bangladesh","2017","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.43216","-","-","-"
"Bangladesh","2017","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","40.49489","-","-","-"
"Bangladesh","2017","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33.12739","-","-","-"
"Barbados","2020","Female","-","-","-","-","-","-","-","-","-","-","4.24077","-","-","-","-","12.04654","3.34526","3.74291","-","-","-"
"Barbados","2020","Male","-","-","-","-","-","-","-","-","-","-","7.9036","-","-","-","-","12.8628","1.97899","3.58638","-","-","-"
"Barbados","2020","Total","-","-","-","-","-","-","-","-","-","-","6.12191","-","-","-","-","12.46221","2.65161","3.66317","-","-","-"
"Barbados","2012","Female","72.223633","98.897209","88.800003","79.699997","99.199997","97.900002","96.900002","1.1","1.220597","1.279014","-","-","-","-","-","-","-","-","-","-","-"
"Barbados","2012","Male","63.096771","100","89","84.300003","98.699997","98","91.199997","0","1.11885","0","-","-","-","-","-","-","-","-","-","-","-"
"Barbados","2012","Total","67.536682","99.468857","88.900002","82","98.900002","98","93.900002","0.5","1.175126","0.62935549","-","-","-","-","-","-","-","-","-","-","-"
"Belarus","2020","Female","93.73967","93.706253","95.595154","85.628403","100","98.784286","98.489067","0.0241083","0.31680471","0.7660588","4.58753","-","-","-","-","3.55388","6.02934","-","-","-","-"
"Belarus","2020","Male","94.208748","92.922379","91.244667","88.353638","99.864349","98.814774","97.82029","0.13570841","0","0.72732079","7.7514","-","-","-","-","0.42219","4.50552","-","-","-","-"
"Belarus","2020","Total","93.977028","93.287956","93.276657","86.753616","99.932289","98.800743","98.108932","0.0836608","0.14797039","0.75006419","6.21312","-","-","-","-","1.94003","5.24426","0.14013","-","-","-"
